name	website	sourcePage
Sunrise Recovery Center	https://sunriserecovery.com	https://recovery.com/listing/sunrise-recovery-center
Blue Mountain Treatment	https://bluemountaintreatment.org	https://recovery.com/listing/blue-mountain-treatment
Clearwater Wellness Center	https://clearwaterwellness.com	https://rehabpath.com/centers/clearwater-wellness
Harmony Health Institute	https://harmonyhealthinstitute.net	https://recovery.com/listing/harmony-health-institute
Phoenix Rising Recovery	https://phoenixrisingrec.com	https://rehabpath.com/centers/phoenix-rising-recovery
New Horizons Addiction Treatment	https://newhorizonsaddiction.com	https://recovery.com/listing/new-horizons-addiction
Meadow Valley Rehabilitation		https://recovery.com/listing/meadow-valley-rehab
Summit Behavioral Health		https://rehabpath.com/centers/summit-behavioral-health
Desert Sun Recovery	https://iubenda.com/privacy-policy/98765	https://recovery.com/listing/desert-sun-recovery
Oasis Recovery Centre	https://oasisrecovery.co.uk	https://recovery.com/listing/oasis-recovery-centre
